game_name	age	n	avg	std	gender
魔法师中级	9	1413	0.7355059523809524	0.11534069530046374	全部
魔法师中级	10	476	0.7639479905437352	0.1129103747157545	全部
魔法师中级	11	227	0.7797085201793722	0.106905073901416	全部
魔法师中级	12	64	0.7949074074074074	0.09067497969410489	全部
魔法师中级	13	204	0.8459659408151871	0.07521203361227513	全部
魔法师中级	14	26	0.8222222222222222	0.06636699623533078	全部
魔法师中级	15	2	0.6180555555555556	0.049104637582399115	全部
魔法师终极	10	163	0.6792695473251029	0.1081361297646244	全部
魔法师终极	11	208	0.7151429341963322	0.10223470646693382	全部
魔法师终极	12	63	0.7145061728395061	0.09980497266074839	全部
魔法师终极	13	2	0.7777777777777778	0.11785113019775798	全部
魔术师初级	6	1	0.8194444444444444	NaN	全部
魔术师初级	7	141	0.7240470397404704	0.18234421914638604	全部
魔术师初级	8	255	0.8593674843674843	0.08175518196858557	全部
魔术师初级	9	406	0.8688230994152046	0.0813736632856567	全部
魔术师初级	10	229	0.896980122324159	0.06490551818869482	全部
魔术师初级	11	272	0.9074074074074074	0.06505828694858008	全部
魔术师初级	12	92	0.9244002525252525	0.053017451469185344	全部
顺背数	6	1	5.1	NaN	全部
顺背数	7	132	4.59166979127609	1.072047780133374	全部
顺背数	8	256	5.658385924650985	1.131466570278144	全部
顺背数	9	409	5.910339788089149	1.0179230896153075	全部
顺背数	10	230	6.240791476407915	0.9681226507240638	全部
顺背数	11	272	6.356635886293681	0.9726518444870974	全部
顺背数	12	92	6.438951310861423	1.1526998395585926	全部
太空飞船	6	1	1.0588028234075522	NaN	全部
太空飞船	7	2	0.7879165863828806	0.7960842709474356	全部
太空飞船	8	989	1.3807714113841631	0.16798703814220275	全部
太空飞船	9	1385	1.4604538298311929	0.14160661419521478	全部
太空飞船	10	440	1.5550369177246577	0.11817452445498933	全部
太空飞船	11	272	1.6400992942612407	0.11785890536259998	全部
太空飞船	12	92	1.702346138911404	0.11566565086006891	全部
位置记忆	6	69	4.41352306547619	0.5198089588194376	全部
位置记忆	8	280	4.764991341991342	0.5995861025642978	全部
位置记忆	9	440	4.786645369156837	0.5917805720974282	全部
位置记忆	10	265	5.045027472527472	0.5750322353265273	全部
位置记忆	11	230	5.213332279814581	0.6244778924789128	全部
位置记忆	12	64	5.373419203747073	0.5044855825589086	全部
位置记忆	13	204	5.9125029322073654	0.6898994524128202	全部
位置记忆	14	26	5.7619963369963365	0.5435803373148237	全部
位置记忆	15	2	5.066666666666666	1.0842303978193728	全部
萤火虫	6	71	3.7227699530516434	1.1885239593201034	全部
萤火虫	7	150	5.026801801801802	0.7440432003300795	全部
萤火虫	8	1129	5.320684255684256	1.0997650771321281	全部
萤火虫	9	1436	5.797002658931593	0.9249909451350662	全部
萤火虫	10	477	5.954131054131055	1.0804238776200106	全部
萤火虫	11	231	5.7492625368731565	1.060294367187265	全部
萤火虫	12	64	5.93984375	1.0719677187365424	全部
萤火虫	13	204	7.164449917898194	1.0114276967686313	全部
萤火虫	14	26	7.1923076923076925	0.9326691776143323	全部
萤火虫	15	2	6.416666666666667	0.1178511301977575	全部
阻挡陨石	6	65	2.758974358974359	0.7872854476416901	全部
阻挡陨石	8	236	26.255649717514125	7.038569265594203	全部
阻挡陨石	9	452	32.98451327433629	9.850196301005266	全部
